timestamp_pc,timestamp_esp_ms,rms_z_g,curtose_z,fator_crista_z,accel_x_g,accel_y_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,motor_duty_pct,motor_dir,alerta,pkts_invalidos
17:25:39,56594,0.13225,18.9785,8.9472,0.1246,-0.0236,-2.204,-0.126,0.529,60.0,horário,1,0
17:25:41,58586,0.12957,19.4142,8.9711,0.1241,-0.0232,-2.178,-0.080,0.543,60.0,horário,1,0
17:25:43,60180,0.13020,20.0081,8.9895,0.1228,-0.0225,-2.182,-0.081,0.552,60.0,horário,1,0
17:25:44,61713,0.12906,20.6865,7.6622,0.1253,-0.0231,-2.264,-0.150,0.550,60.0,horário,1,0
17:25:46,63218,0.13277,17.7584,8.0851,0.1284,-0.0236,-2.828,-2.932,0.980,60.0,horário,1,0
17:25:47,64749,0.17701,9.1138,6.8874,0.5489,-0.1568,-13.037,-17.695,-8.203,60.0,horário,1,0
17:25:49,66308,0.17325,10.4519,6.8489,0.6044,-0.1932,-1.912,1.020,0.640,60.0,horário,1,0
17:25:51,67809,0.10435,17.5193,8.8569,0.5915,-0.2006,-2.393,0.496,1.027,60.0,horário,1,0
17:25:52,69400,0.11171,15.8608,8.1018,0.4361,-0.1511,5.104,13.541,2.776,60.0,horário,1,0
17:25:54,70882,0.11509,13.8377,8.0292,0.2351,-0.0417,-1.933,-0.352,0.482,60.0,horário,1,0
17:25:56,72917,0.12607,18.5638,9.0552,0.2232,-0.0573,-2.643,0.318,0.386,60.0,horário,1,0
17:25:57,74460,0.12887,17.4949,8.4504,0.2232,-0.0588,-2.234,-0.084,0.546,60.0,horário,1,0
17:25:59,75925,0.13161,15.9438,7.8794,0.2225,-0.0590,-2.217,-0.097,0.531,60.0,horário,1,0
17:26:00,77563,0.13091,16.5726,8.1681,0.2207,-0.0590,-2.249,-0.102,0.541,60.0,horário,1,0
17:26:02,79081,0.12947,16.6200,7.4619,0.2205,-0.0591,-2.204,-0.074,0.555,60.0,horário,1,0
17:26:04,81103,0.12468,18.5359,8.5448,0.2199,-0.0591,-2.196,-0.147,0.548,60.0,horário,1,0
17:26:05,82652,0.12640,17.3487,8.6064,0.2207,-0.0584,-2.219,-0.141,0.544,60.0,horário,1,0
17:26:07,84178,0.12697,17.4093,8.0166,0.2211,-0.0587,-2.189,-0.075,0.542,60.0,horário,1,0
17:26:08,85757,0.12744,18.1288,8.4235,0.2204,-0.0581,-2.200,-0.114,0.570,60.0,horário,1,0
17:26:10,87373,0.12679,17.8606,8.3147,0.2189,-0.0589,-2.175,-0.095,0.539,60.0,horário,1,0
17:26:12,88938,0.12535,21.4824,9.7079,0.2201,-0.0600,-2.196,-0.127,0.553,60.0,horário,1,0
17:26:14,90883,0.12554,18.7221,7.9910,0.2194,-0.0588,-2.173,-0.097,0.525,60.0,horário,1,0
17:26:15,91857,0.12664,20.2051,8.5271,0.2184,-0.0588,-2.172,-0.084,0.552,60.0,horário,1,0
17:26:16,93540,0.12636,20.1440,8.8217,0.2171,-0.0581,-2.226,-0.110,0.571,60.0,horário,1,0
17:26:18,95174,0.12663,21.0645,9.1479,0.2199,-0.0588,-2.199,-0.082,0.542,60.0,horário,1,0
17:26:19,96658,0.12651,19.3083,9.0096,0.2213,-0.0582,-2.188,-0.114,0.551,60.0,horário,1,0
17:26:21,98376,0.12635,19.9089,9.2737,0.2198,-0.0585,-2.205,-0.123,0.541,60.0,horário,1,0
17:26:23,99853,0.12614,18.5917,8.6970,0.2201,-0.0584,-2.190,-0.096,0.545,60.0,horário,1,0
17:26:24,101379,0.12642,22.6865,10.0310,0.2215,-0.0589,-2.174,-0.111,0.547,60.0,horário,1,0
17:26:26,103190,0.12721,19.3589,9.2632,0.2197,-0.0584,-2.194,-0.109,0.530,60.0,horário,1,0
17:26:27,104487,0.12735,18.5927,8.3437,0.2195,-0.0586,-2.195,-0.103,0.542,60.0,horário,1,0
17:26:29,105869,0.12584,18.9442,8.8985,0.2188,-0.0597,-2.221,-0.119,0.554,60.0,horário,1,0
17:26:30,107337,0.12841,20.9391,8.7402,0.2195,-0.0575,-2.198,-0.102,0.555,60.0,horário,1,0
17:26:31,108729,0.12646,18.6586,8.7848,0.2198,-0.0593,-2.197,-0.059,0.541,60.0,horário,1,0
17:26:33,110718,0.12922,17.9934,7.6337,0.2193,-0.0596,-2.216,-0.118,0.549,60.0,horário,1,0
17:26:35,112047,0.12928,19.1122,8.6430,0.2191,-0.0585,-2.193,-0.118,0.536,60.0,horário,1,0
17:26:36,113209,0.12650,20.6367,8.8338,0.2180,-0.0578,-2.189,-0.115,0.559,60.0,horário,1,0
17:26:37,114718,0.12497,18.1035,7.8403,0.2175,-0.0574,-2.217,-0.139,0.552,60.0,horário,1,0
17:26:39,116760,0.12445,18.4465,8.3595,0.2205,-0.0583,-2.190,-0.127,0.541,60.0,horário,1,0
17:26:41,117857,0.12621,19.4717,8.7638,0.2203,-0.0573,-2.189,-0.102,0.559,60.0,horário,1,0
17:26:43,120215,0.12424,19.3263,9.2390,0.2190,-0.0584,-2.201,-0.102,0.539,60.0,horário,1,0
